epoch,accuracy,loss,val_accuracy,val_loss
0,0.46666666865348816,1.014199137687683,0.7333333492279053,0.8371532559394836
1,0.7250000238418579,0.800605058670044,0.8333333134651184,0.6727941632270813
2,0.7416666746139526,0.6910154223442078,0.8333333134651184,0.5556491017341614
3,0.7749999761581421,0.6042254567146301,0.8333333134651184,0.4761323928833008
4,0.7583333253860474,0.5503383278846741,0.8333333134651184,0.42142853140830994
5,0.800000011920929,0.49731627106666565,0.8333333134651184,0.3833279013633728
6,0.800000011920929,0.4609473645687103,0.8666666746139526,0.3497070074081421
7,0.8333333134651184,0.41996002197265625,0.8666666746139526,0.32177039980888367
8,0.824999988079071,0.38527101278305054,0.8999999761581421,0.29824963212013245
9,0.8416666388511658,0.37963488698005676,0.8999999761581421,0.2716957628726959
10,0.8666666746139526,0.3521979749202728,0.8999999761581421,0.25107938051223755
11,0.8583333492279053,0.36652305722236633,0.8999999761581421,0.2345578372478485
12,0.8416666388511658,0.3160640597343445,0.8999999761581421,0.2239445596933365
13,0.8416666388511658,0.3248729109764099,0.8999999761581421,0.2130458950996399
14,0.8583333492279053,0.3198813796043396,0.8999999761581421,0.20378869771957397
15,0.875,0.27832669019699097,0.8999999761581421,0.1896999627351761
16,0.8833333253860474,0.2774510681629181,0.9333333373069763,0.1749807447195053
17,0.8916666507720947,0.24905793368816376,0.9333333373069763,0.16995438933372498
18,0.9083333611488342,0.28354719281196594,0.9666666388511658,0.1508343368768692
19,0.8916666507720947,0.2545135021209717,0.9666666388511658,0.1471642553806305
20,0.925000011920929,0.22664852440357208,0.9666666388511658,0.1377660632133484
21,0.8999999761581421,0.24149106442928314,0.9666666388511658,0.12876543402671814
22,0.9166666865348816,0.1990712732076645,1.0,0.12320895493030548
23,0.9583333134651184,0.17683397233486176,1.0,0.11344725638628006
24,0.9333333373069763,0.21596097946166992,1.0,0.09929607063531876
25,0.9083333611488342,0.19039808213710785,0.9666666388511658,0.11678404361009598
26,0.9416666626930237,0.16701838374137878,1.0,0.08915838599205017
27,0.9583333134651184,0.14913766086101532,1.0,0.08166993409395218
28,0.9166666865348816,0.1832418441772461,1.0,0.0946696326136589
29,0.9416666626930237,0.15626850724220276,1.0,0.09234870970249176
30,0.9666666388511658,0.13050861656665802,1.0,0.07399681210517883
31,0.9583333134651184,0.19091270864009857,1.0,0.08252155035734177
32,0.949999988079071,0.15589545667171478,1.0,0.07340909540653229
33,0.9416666626930237,0.15543211996555328,1.0,0.06593671441078186
34,0.9416666626930237,0.14862242341041565,1.0,0.057227395474910736
35,0.9333333373069763,0.1753973662853241,1.0,0.06228867545723915
36,0.9666666388511658,0.10929124802350998,1.0,0.06026897951960564
37,0.9583333134651184,0.11319262534379959,1.0,0.06171952560544014
38,0.9750000238418579,0.1085297092795372,1.0,0.060628827661275864
39,0.9416666626930237,0.15705302357673645,1.0,0.05264107510447502
40,0.949999988079071,0.1137814074754715,1.0,0.04865379258990288
41,0.949999988079071,0.14365501701831818,1.0,0.04920345917344093
42,0.9416666626930237,0.13518933951854706,1.0,0.0515633188188076
43,0.925000011920929,0.15257255733013153,0.9666666388511658,0.06882893294095993
44,0.949999988079071,0.12880839407444,0.9666666388511658,0.05997997149825096
45,0.9583333134651184,0.13102009892463684,0.9666666388511658,0.05789995193481445
46,0.9666666388511658,0.07928899675607681,1.0,0.04992461949586868
47,0.9833333492279053,0.09493282437324524,0.9666666388511658,0.055060382932424545
48,0.9750000238418579,0.09370294958353043,1.0,0.042545855045318604
49,0.9750000238418579,0.09444935619831085,0.9666666388511658,0.05125824362039566
